FIPStxt,PC 1,PC 2,PC 3,PC 4,PC 5,PC 6,PC 7,PC 8,PC 9,PC 10,class
12083,2238522499.5733953,402758015.8244754,51614652.43529941,-251761.25656525558,60816.44772892872,-11890.752479900792,-114.37437488231421,68.71146210056955,-204.03222871997423,-78.81823854349534,0
12085,-1402187991.38784,89221127.44931807,-17970014.232708752,-76119.01067560329,-20915.560115743476,4220.853924188545,1367.7258245703188,-926.4818296552046,932.7715011247752,-11.284865155683834,4
12086,2960024576.134306,1415158011.756891,-29280103.81605561,2445982.2053052075,31905.152078168347,-10490.610942414729,-1266.7064156245842,406.95534647279624,312.4192068137231,31.2713998234452,0
12087,275487565.57868433,-143443586.03853127,92377193.18390746,51253.311899199274,-46180.475448410056,25816.906321874972,-409.3873662373031,503.96310867130876,-369.7103761584768,1.2355411979703446,0
37187,-1989540697.0449889,-199543671.46258682,-15130021.444156304,31426.904429137143,-18718.403061126184,-195.97378660783306,-221.6318872503871,-395.55291004946946,-1.789068645005868,-5.109503570218214,4
12089,-956120590.1740253,-120549489.36850479,105802456.36781068,34121.61272089991,-22315.025259692917,-16281.356490886108,-89.47105799251032,-162.70926524511202,-84.95122141999042,-8.075769982790517,4
12091,-14217277.67286473,103244381.38831504,47710691.449838564,-51181.50836404011,-26545.2409843466,4023.9913082822873,1258.1394797584983,345.3456761949875,374.85881073128076,-34.87341992900446,0
12093,-486454871.3412336,-165873479.56290513,51422617.40798099,26983.497087906275,-32459.924294373457,-6552.2547021372775,-74.90260439959026,-153.2673790263695,-20.89961250905869,-14.467412375035225,0
12095,-706594218.4723705,1507921929.768722,-4677934.3218787415,55310.686970387156,-30138.422123843167,-957.574645660958,193.3161714156242,-641.9914558778569,266.7069531055731,-39.43599873316738,4
12097,1353990550.1420288,298954497.99099344,20265619.86575066,-149923.77983115625,-25270.728182071212,14648.149586198873,835.5607312500882,-8.633753617915328,528.0194190057398,-34.191958647649585,0
12099,3145080387.3428435,1555461279.4703097,46132049.34779886,254765.17922093137,-49323.95049971684,17028.570838687596,-293.6394422096193,-179.96872478340035,587.5109769324162,-50.85074933908586,0
12101,-971336316.8773997,810573245.5566378,-24235101.797793962,-372573.0473562512,-537.868297698264,-404.1340361950445,460.0801661706526,140.2473922228855,-262.4577407133093,-26.891603578444776,4
12103,-2704119530.697792,831618426.3902738,-20826902.356040616,465061.8096480197,-27289.2456454207,-686.7557088576407,1515.662874678776,618.3984882767304,-293.89726456411256,80.6539245401669,4
12105,2754067448.8140874,981722972.9776782,102515416.66646092,-406269.607317387,9488.83193763597,6692.9022268837025,-121.88383555327415,375.7098221418442,-159.82322540303076,-93.89447815183951,0
12107,-661983810.1861718,-130688254.78166246,96308178.79505888,33661.368476488075,-12280.548709335422,-19442.59314452709,-168.26085493373085,-219.46547719314398,-80.47373809054106,-12.584483658399286,4
12109,-1227929094.0484598,161729467.10993752,-5709381.080024486,-117746.9730636437,14154.360140239452,-3047.1652943866716,640.8664718993981,64.65802691008592,137.84497253279818,0.7396242087759486,4
12111,-1427637901.9346278,392119198.43264407,-25377272.923848823,-181549.89669806306,-31982.344029277177,783.6698595049945,1169.9711014651352,750.1517354685856,-303.76361612276855,-47.830447173954006,4
12113,274539711.31571156,160640013.3236765,-29802490.524635646,-198610.9746122352,-407.1418968443861,-1105.494407993024,385.19929187381064,845.6151483381595,-313.85713136176594,-45.118538562368805,0
12115,-1546828007.4711545,532299126.4106352,-24492975.08000622,-167912.35732951382,-24751.253172733275,439.88907548564725,1095.5969657111127,698.2695167015462,-366.5657870389589,-36.56194370315866,4
12117,-2420233465.8241844,473964639.5212274,-23043068.057811666,-9652.839869872225,-22351.97734747477,286.6074553248005,1482.0505178380092,749.0591854347375,-382.69575528817603,24.164923397133116,4
12119,-1317753144.7807455,-80739903.23084688,-10935623.402005496,-887.5922737007937,7499.516635740587,-575.9932000938687,1104.4499513222972,6.415106081855746,363.15799283992186,-5.9749234553369215,4
12121,-746297937.32617,-209636347.52089468,-11158359.317931985,41336.730311596875,12636.170408910191,-1658.299749465824,-563.1233514126602,-416.17984004178794,-159.6042577686462,-2.770330538551212,4
12123,550758044.2745136,-222153194.16747373,-9689968.446109675,24865.85775082331,-14225.496354767105,-2963.4812984855535,-329.21188330722345,-220.04039425086447,-13.430593285266333,-15.830635488473074,0
12125,-2374884073.9206266,-191764790.9084976,-10100578.97919076,32941.4523621749,-18032.39807038066,-1120.5610753582062,-317.3340700730047,-238.0396187319905,24.355939464766237,9.303894676169037,4
12127,376741860.36281633,677228190.6239742,-27610105.04997187,-201597.5889386892,13188.327513768461,-1865.4890012451867,493.6165600921293,643.9425389416286,-553.4612199923397,-61.84796371426086,0
12129,-1063886949.9475194,-183009482.74831852,20200143.99060018,28043.71910334593,-18274.631967434194,-8745.123877686707,-311.7787020478747,-94.13552505720632,42.26751400024732,-10.43148394515564,4
12131,498237160.27896166,-161665254.06835365,16048151.595877897,1300.3544689404632,167.45602827969037,-11343.935241785613,326.9052055262448,286.2649351935402,340.95805644272974,-31.83113750420569,0
26003,87490930.77609706,-225300124.62320688,-20468765.541932803,21586.308374759086,-22509.73025200261,-1871.8411200103214,-304.99527904705064,-129.70459478438886,61.01054206705427,-15.52019606465317,0
26005,-293346262.3884706,-137257664.36756083,49899437.54699311,43885.57210904396,43259.47285910797,-3438.953453493865,-84.3110024147267,391.6960593286462,161.98310648985256,-8.612568311645195,0
26007,-1180616669.331188,-194997199.2972044,2414361.630458263,36153.805110915346,-14892.274250629665,2868.4505679385898,-163.22238432160628,-550.2993093023997,-140.70971089877617,-3.8828300569251293,4
26009,-1515808427.851331,-214083647.28838438,-28012618.26663251,37152.64168350802,3507.625340089591,-1147.777407143857,-1313.2689663039555,988.7502989240556,158.3131648268556,4.859352845601114,4
26011,-1927884423.8431084,-209140544.40454012,-27178081.859877404,34525.38338287458,-6384.895891476583,-564.1460418067468,-1196.83201611351,982.6772808907457,199.51537971363118,4.2790635203371,4
26013,31807627.536461495,-232648274.6352313,-31146859.749112174,23644.4302484159,-16285.780060560583,-815.2275685126322,-1049.1878808030415,970.5590677292706,226.26377894342008,-16.795941167940992,0
26015,-1248976466.1175249,-194694433.59999073,1856485.8162476325,52089.02856028374,24762.851922718834,548.7109761723319,-665.5715392426911,-496.64014736839454,-281.7709306394598,19.73341585099876,4
26017,-1716419153.1913016,-31781804.46882863,-26772739.65103873,-27330.68532602189,10251.714976054827,-1197.9129333202231,856.178417574168,972.0756632405073,-352.74621499969845,-1.4024915032149325,4
26019,-2087158958.1998692,-207229946.17832243,-26855518.07750643,35975.19069270149,-4202.645156457929,-604.8122284993084,-1225.7510250241687,984.6958225024307,191.92475454035068,12.866628220000885,4
26021,-1328453573.4096503,105849008.93909301,15866499.148089387,-114390.00959277608,18005.16541654617,-2311.642150175121,274.4992643309197,93.05502639063481,215.25349468536461,16.675151767795484,4
26023,-1424181843.0791879,-187040490.12292293,9685465.604045033,44476.9659944357,418.2199148503571,2355.6851075482905,-400.5266574654897,-450.2788738307064,-203.46664036530908,10.800532509133483,4
26025,-783436113.6652688,15842779.540949112,7725310.972259904,-51806.907048374436,12066.129918937295,2305.869365185822,565.3603209890491,14.964316577229068,368.03178769186405,-7.227742902769193,4
26027,-1489191851.4942994,-160585468.96049896,-16391773.934148662,12206.1991628677,17014.683160682285,654.1343542047333,-93.66481713836092,-393.8201184862705,590.1454597392161,20.911440466323032,4
26029,-1746335839.2682765,-193488881.05018583,-3544682.307965403,34899.89568558148,-10303.49334336751,-2092.642739060335,-389.5291962248023,-241.40373509765163,-26.366209901138003,3.7973910484013422,4
26031,-644659533.7908357,-216030255.19283783,-18330087.694784172,33820.18666258468,-2355.181092803487,-842.0297933217217,-335.22101611834927,-512.5136377347204,-99.30550894439925,-10.769989804674477,4
26033,2433109898.5648885,-238924153.72108305,-5682331.707066737,31450.40866425538,-9391.900606686495,8593.794023564098,45.500169178300666,-1007.0376023012008,-343.87942769932033,-8.591960391826548,0
26035,-1207689778.807284,-195433582.2119693,1444584.1423525594,34177.670423235635,-7774.06600028013,-3522.1065100433966,-433.45790031650114,-186.56726866749645,-32.921249331658764,-3.7186503639118422,4
