CMTE_ID,CMTE_NM,CMTE_TP,CMTE_CITY,CMTE_ST,CMTE_ZIP,CMTE_DSGN,CMTE_PTY_AFFILIATION,ORG_TP,CONNECTED_ORG_NM,CAND_ID
C00651620,ANA MARIA PEREZ FOR CONGRESS,H,PRESCOTT VALLEY,AZ,86312,P,DEM,,,H8AZ04132
C00652818,COMMITTEE FOR ROBERT W COOPER JR,P,HUACHUCA CITY,AZ,85616,P,IND,,,P00006148
C00653238,WHEELER FOR CONGRESS,H,TUCSON,AZ,85716,P,DEM,,,H8AZ02169
C00654228,MARY J RINCON COMMITTEE,P,QUEEN CREEK,AZ,85142,A,IND,,NONE,P20005427
C00655134,ANITA FOR ARIZONA,H,SCOTTSDALE,AZ,85267,P,DEM,,NONE,H8AZ06103
C00656298,BRITTAIN FOR US SENATE,S,SCOTTSDALE,AZ,85260,P,REP,,BRITTAIN FOR US SENATE,S8AZ00189
C00656603,SETH LEIBSOHN FOR CONGRESS,H,PHOENIX,AZ,85016,P,REP,,NONE,H8AZ09032
C00657155,TIFFANY SHEDD FOR CONGRESS COMMITTEE,H,CASA GRANDE,AZ,85122,P,REP,,NONE,H8AZ01237
C00657304,STANTON FOR CONGRESS,H,PHOENIX,AZ,85018,P,DEM,,BETTER DAYS FUND,H8AZ09040
C00657627,SYLVESTER FOR ARIZONA,H,GOODYEAR,AZ,85395,P,IND,,,H8AZ08091
C00657783,THE CENTRIST ALLIANCE PARTY,X,ARIZONA CITY,AZ,85123,U,UN,,,
C00660654,ELECT CHE'' FOWLER,S,SEDONA,AZ,86336,P,DEM,,,S8AZ00205
C00661306,DIEGEL CAMPAIGN,S,SCOTTSDALE,AZ,85259,P,REP,,NONE,S8AZ00213
C00661686,FRIENDS OF JOSE TORRES,H,GILBERT,AZ,85298,P,DEM,,,H8AZ05162
C00662460,DAVID LIEN FOR CONGRESS,H,GLENDALE,AZ,85308,P,REP,,,H8AZ08109
C00663054,LEA MARQUEZ PETERSON FOR CONGRESS,H,TUCSON,AZ,85717,P,REP,,,H8AZ02185
C00663096,SCHUSTER FOR CONGRESS 2018,H,PEORIA,AZ,85383,P,DEM,,,H8AZ08125
C00663245,ARELLANO FOR ARIZONA,H,SAHUARITA,AZ,85629,P,REP,,,H8AZ03142
C00663914,DEBBIE LESKO FOR CONGRESS,H,PHOENIX,AZ,85064,P,REP,,SCHWEIKERT-LESKO VICTORY COMMITTEE,H8AZ08158
C00664003,BAKER FOR CONGRESS 2018,H,GLENDALE,AZ,85302,P,REP,,,H8AZ08166
C00664342,BRILL FOR CONGRESS,H,PRESCOTT,AZ,86303,P,DEM,,,H8AZ04140
C00664490,MIRANDA FOR ARIZONA,H,PHOENIX,AZ,85339,P,DEM,,NONE,H8AZ07044
C00666040,MCSALLY FOR SENATE INC,S,TUCSON,AZ,85710,P,REP,,MCSALLY FOR CONGRESS,S8AZ00221
C00666107,PIERSON FOR CONGRESS,H,TUCSON,AZ,85728,P,REP,,,H8AZ03159
C00666206,SHERIFF JOE ARPAIO FOR US SENATE,S,FOUNTAIN HILLS,AZ,85268,P,REP,,,S8AZ00247
C00667626,COMMITTEE TO ELECT MARK YATES,H,SURPRISE,AZ,85388,P,REP,,NONE,
C00667725,DAVID A RUBEN FOR US SENATE,S,TUCSON,AZ,85713,P,DEM,,,S2AZ00265
