FIPStxt,POP_COU,AREA_COU,POP_URBAN,POPPCT_URBAN,AREA_URBAN,AREAPCT_URBAN,POPDEN_URBAN,POP_UA,POPPCT_UA,AREA_UA,AREAPCT_UA,POPDEN_UA,POP_UC,POPPCT_UC,AREA_UC,AREAPCT_UC,POPDEN_UC,POP_RURAL,POPPCT_RURAL,AREA_RURAL,AREAPCT_RURAL,POPDEN_RURAL,PC 1,PC 2,PC 3,PC 4,PC 5,PC 6,PC 7,PC 8,PC 9,PC 10,class
37009,27281,1103683753,4129,15.14,14309503,1.3,747.3,0,0.0,0,0.0,0.0,4129,15.14,14309503,1.3,747.3,23152,84.86,1089374250,98.7,55.0,-1707271098.0927036,-198294359.0496863,-9461867.278266968,35502.25130459008,-2830.2179175117967,-4166.183898559551,-635.8600740371999,29.56641537341447,23.80168023312286,6.978372734773885,4
37011,17797,639951854,1996,11.22,5943883,0.93,869.7,0,0.0,0,0.0,0.0,1996,11.22,5943883,0.93,869.7,15801,88.78,634007971,99.07,64.5,-2357239675.404636,-198385613.4907054,-18764000.735022336,35474.71362322942,-8684.201549602618,-1315.6893097100099,-536.6758130359156,-73.14479961620978,33.53296637443563,20.924338382114506,4
37013,47759,2142417945,16429,34.4,40585800,1.89,1048.4,0,0.0,0,0.0,0.0,16429,34.4,40585800,1.89,1048.4,31330,65.6,2101832145,98.11,38.6,-256601882.4390171,-190919842.06687254,20952642.19263665,36167.32294863223,-1765.7329338684162,-5028.65268880029,-467.09363284862906,-184.68821685556225,-107.58668612332956,-11.034983041766429,0
37015,21282,1811100404,3566,16.76,6123998,0.34,1508.1,0,0.0,0,0.0,0.0,3566,16.76,6123998,0.34,1508.1,17716,83.24,1804976406,99.66,25.4,-701232909.8691345,-218080609.60030702,-21889132.463845007,32217.87992907722,-6311.16511672156,-86.49063623007184,-146.95545724268996,-764.1862682274154,-120.7285617135179,-12.74418252371095,4
37017,35190,2264498846,3085,8.77,6502250,0.29,1228.8,0,0.0,0,0.0,0.0,3085,8.77,6502250,0.29,1228.8,32105,91.23,2257996596,99.71,36.8,-60340321.32439317,-225411848.5747922,-22706954.00574799,36880.044897704174,11904.291437069822,-1974.3930919695624,-537.5535570994568,-449.2736872704539,-137.64645341650936,-12.883974473526465,0
37019,107431,2193650178,61278,57.04,184995856,8.43,857.9,39915,37.15,128578353,5.86,804.0,21363,19.89,56417503,2.57,980.7,46153,42.96,2008654322,91.57,59.5,-283599557.5849051,27644538.09521651,42044588.76318585,-114761.47102784473,2929.3757087738477,-8223.418259187578,91.61641301106675,130.5195026163746,218.34911297620425,-22.20179769247543,0
37021,238318,1700772614,180932,75.92,398124259,23.41,1177.0,180932,75.92,398124259,23.41,1177.0,0,0.0,0,0.0,0.0,57386,24.08,1302648355,76.59,114.1,-1126942581.077207,410779970.4479611,-25882973.25704909,-333158.9909690553,24833.72235930885,-1426.4911923615787,-46.6428367513229,760.2477225890837,-493.60260667141483,-4.0626282920871475,4
37023,90912,1313381247,52136,57.35,181532109,13.82,743.8,52136,57.35,181532109,13.82,743.8,0,0.0,0,0.0,0.0,38776,42.65,1131849138,86.18,88.7,-1525724629.8042564,73080302.81298248,-26662371.7627574,-183700.03175015558,11374.080279112362,-986.0217582191731,-308.55146693257865,891.7388586865939,-222.78902442465397,7.421695509643488,4
37025,178011,936925455,143738,80.75,282698387,30.17,1316.9,143551,80.64,282323895,30.13,1316.9,187,0.11,374492,0.04,1293.3,34273,19.25,654227068,69.83,135.7,-2127685973.1029103,240029969.41900432,-24229441.19275981,-202925.47138273017,2304.1598952095624,-292.9923426121274,537.3439217482828,-253.59064429584305,335.0425423350207,61.75781321872377,4
37027,83029,1221349765,54444,65.57,176150384,14.42,800.5,54444,65.57,176150384,14.42,800.5,0,0.0,0,0.0,0.0,28585,34.43,1045199381,85.58,70.8,-1652164141.933914,66087250.27256438,-26445745.13204902,-175247.65917861255,-1335.8474014370356,-407.0244851017277,-91.35501709599409,888.6703470967782,-177.354679924024,0.4298731269677992,4
37031,66469,1311185243,44798,67.4,123620282,9.43,938.6,0,0.0,0,0.0,0.0,44798,67.4,123620282,9.43,938.6,21671,32.6,1187564961,90.57,47.3,-1489612903.537333,-97835058.07477562,128845105.83978777,28241.592098069188,-46393.23019429588,-16902.09469994582,225.57543348093705,-164.56193203872468,-20.43670982941601,-7.881324223100455,4
